"timestamp_utc","phase","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T04:30:53.2020653Z","steady_4vu","k6","24636","0.064","35.52","62.398","15"
"2026-08-17T04:30:55.2408302Z","steady_4vu","backend","10924","0","54.598","63.871","12"
"2026-08-17T04:30:55.2408302Z","steady_4vu","k6","24636","0.064","35.531","62.398","15"
"2026-08-17T04:30:57.3162370Z","steady_4vu","backend","10924","0","54.598","63.871","12"
"2026-08-17T04:30:57.3162370Z","steady_4vu","k6","24636","0.188","35.531","62.398","15"
"2026-08-17T04:30:59.3680300Z","steady_4vu","backend","10924","0.127","54.598","63.871","12"
"2026-08-17T04:30:59.3680300Z","steady_4vu","k6","24636","0.381","35.535","62.398","15"
"2026-08-17T04:31:01.4132895Z","steady_4vu","backend","10924","0.064","54.598","63.871","12"
"2026-08-17T04:31:01.4132895Z","steady_4vu","k6","24636","0.127","35.535","62.398","15"
"2026-08-17T04:31:03.4640689Z","steady_4vu","backend","10924","0.063","54.555","63.598","12"
"2026-08-17T04:31:03.4640689Z","steady_4vu","k6","24636","0.127","35.668","62.531","15"
"2026-08-17T04:31:05.4991722Z","steady_4vu","backend","10924","0.192","54.559","63.602","12"
"2026-08-17T04:31:05.4991722Z","steady_4vu","k6","24636","0","35.672","62.531","15"
"2026-08-17T04:31:07.5501663Z","steady_4vu","backend","10924","0.063","54.641","63.727","12"
"2026-08-17T04:31:07.5501663Z","steady_4vu","k6","24636","0","35.672","62.531","15"
"2026-08-17T04:31:09.6065702Z","steady_4vu","backend","10924","0","54.645","63.727","12"
"2026-08-17T04:31:09.6065702Z","steady_4vu","k6","24636","0.063","35.684","62.539","15"
"2026-08-17T04:31:11.6721184Z","steady_4vu","backend","10924","0","54.52","63.477","12"
"2026-08-17T04:31:11.6721184Z","steady_4vu","k6","24636","0.252","35.695","62.539","15"
"2026-08-17T04:31:13.7377201Z","steady_4vu","backend","10924","0.063","54.523","63.48","12"
"2026-08-17T04:31:13.7377201Z","steady_4vu","k6","24636","0.252","35.699","62.539","15"
