metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_receiving,1786976410,0.998500,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
http_req_failed,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,target_vus=4&step=login&test_phase=official_spike&spike_phase=warmup_4,
latency_login_ms,1786976410,5.516000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_http_duration_ms,1786976410,5.516000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_http_requests,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_http_failure_rate,1786976410,0.000000,,,,,,,,,spike,,,,,,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=login,
spike_warmup_4_latency_login_ms,1786976410,5.516000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_requests_login,1786976410,1.000000,,,,,,,,,spike,,,,,,target_vus=4&step=login&spike_phase=warmup_4&test_phase=official_spike,
checks,1786976410,1.000000,login status is 200,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,target_vus=4&step=login&spike_phase=warmup_4&test_phase=official_spike,
checks,1786976410,1.000000,login token is present,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,step=login&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
checks,1786976410,1.000000,login email matches registration,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
checks,1786976410,1.000000,login user id matches registration,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
http_reqs,1786976410,1.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,target_vus=4&spike_phase=warmup_4&test_phase=official_spike&step=read_profile,
http_req_duration,1786976410,3.373800,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
http_req_blocked,1786976410,0.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,test_phase=official_spike&step=read_profile&target_vus=4&spike_phase=warmup_4,
http_req_connecting,1786976410,0.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=read_profile,
