"timestamp_utc","spike_phase","target_vus","actual_vus_live","actual_vus_live_source","cpu_percent","committed_memory_percent","disk_bytes_per_second","network_bytes_per_second"
"2026-08-17T14:23:31.0958752Z","final_rampdown_4_to_0","0","4","k6_progress","13.112","85.55","440329.406","1209.184"
"2026-08-17T14:23:32.3945188Z","final_rampdown_4_to_0","0","4","k6_progress","13.779","85.52","345126.643","277.969"
"2026-08-17T14:23:33.6916700Z","final_rampdown_4_to_0","0","4","k6_progress","18.023","85.557","263405.744","120.174"
"2026-08-17T14:23:34.9897930Z","final_rampdown_4_to_0","0","4","k6_progress","18.496","85.567","212492.576","333.803"
"2026-08-17T14:23:36.2882170Z","final_rampdown_4_to_0","0","4","k6_progress","19.484","85.476","1408710.99","120.144"
"2026-08-17T14:23:37.5828733Z","final_rampdown_4_to_0","0","3","k6_progress","14.449","85.443","437684.091","394.623"
"2026-08-17T14:23:38.8780101Z","final_rampdown_4_to_0","0","3","k6_progress","16.487","85.445","305260.578","31508.275"
"2026-08-17T14:23:40.1750657Z","final_rampdown_4_to_0","0","3","k6_progress","30.216","85.545","152945.984","26223.296"
"2026-08-17T14:23:41.4694064Z","final_rampdown_4_to_0","0","3","k6_progress","15.253","85.542","12266.868","120.792"
"2026-08-17T14:23:42.7620611Z","final_rampdown_4_to_0","0","3","k6_progress","10.786","85.545","202864.47","119.856"
"2026-08-17T14:23:44.0567659Z","final_rampdown_4_to_0","0","3","k6_progress","21.939","85.513","244834.891","341.709"
"2026-08-17T14:23:45.3488711Z","graceful_completion","0","3","k6_progress","18.307","85.508","8123.802","263.786"
"2026-08-17T14:23:46.6446816Z","graceful_completion","0","3","k6_progress","12.65","85.485","1032610.759","119.625"
"2026-08-17T14:23:47.9392845Z","graceful_completion","0","3","k6_progress","11.194","85.471","410606.485","120.394"
"2026-08-17T14:23:49.2258428Z","graceful_completion","0","3","k6_progress","22.158","85.5","243308.159","65.342"
"2026-08-17T14:23:50.5209298Z","graceful_completion","0","2","k6_progress","30.552","85.647","33285268.159","27358.717"
"2026-08-17T14:23:51.8183379Z","graceful_completion","0","2","k6_progress","15.778","85.617","167162.187","278.01"
"2026-08-17T14:23:53.1270739Z","graceful_completion","0","1","k6_progress","15.887","85.672","299292.06","396.021"
"2026-08-17T14:23:54.4147160Z","graceful_completion","0","1","k6_progress","20.357","85.651","450467.773","119.616"
"2026-08-17T14:23:55.7130001Z","graceful_completion","0","1","k6_progress","13.191","85.683","496038.63","195.543"
"2026-08-17T14:23:57.0236067Z","graceful_completion","0","0","k6_progress","48.925","85.504","8699362.785","11598.389"
